wavelength,flux
3124.65528,1.318507646e-16
3125.267605,2.749027757e-16
3125.87993,2.758135537e-16
3126.492255,8.359358343e-17
3127.10458,4.361804416e-17
3127.716905,8.074226502e-17
3128.32923,1.381600484e-16
3128.941555,9.766319095e-17
3129.55388,-7.74248332e-17
3130.166205,9.749861652e-17
3130.77853,1.763976754e-16
3131.390855,4.490029306e-17
3132.00318,7.127340513e-17
3132.615505,6.563774337e-17
3133.22783,2.957786286e-17
3133.840155,7.004741021e-17
3134.45248,1.984718531e-17
3135.064805,4.194620766e-18
3135.67713,-1.11680393e-16
3136.289455,-1.946207692e-17
3136.90178,-1.204121834e-17
3137.514105,6.964494418e-17
3138.12643,8.743960801e-17
3138.738755,5.725794072e-17
3139.35108,1.251347256e-17
3139.963405,1.144576665e-17
3140.57573,1.130565497e-16
3141.188055,7.046397278e-17
3141.80038,-4.206908877e-17
3142.412705,9.502925521e-17
3143.02503,1.092808503e-16
3143.637355,5.48602613e-17
3144.24968,3.786384182e-17
3144.862005,6.981389257e-17
3145.47433,9.926421537e-17
3146.086655,6.941995587e-17
3146.69898,8.703692557e-17
3147.311305,3.983487588e-17
3147.92363,4.65698053e-17
3148.535955,7.398117535e-17
3149.14828,-1.952901145e-17
3149.760605,-1.048457731e-17
3150.37293,3.653165259e-17
3150.985255,2.565293526e-17
3151.59758,4.868712239e-17
3152.209905,5.621230694e-17
3152.82223,6.359664975e-17
3153.434555,1.372914014e-16
3154.04688,6.657060949e-17
3154.659205,4.094409323e-17
3155.27153,4.076641647e-17
3155.883855,7.124730536e-17
3156.49618,-4.59235896e-19
3157.108505,1.37782592e-17
3157.72083,9.755908398e-18
3158.333155,4.118913554e-18
3158.94548,2.976098658e-17
3159.557805,1.176014663e-16
3160.17013,1.343052877e-16
3160.782455,1.054911999e-16
3161.39478,4.818480127e-17
3162.007105,1.317438299e-17
3162.61943,6.641959413e-17
3163.231755,5.794693231e-17
3163.84408,4.930314291e-18
3164.456405,4.379255706e-17
3165.06873,5.615059507e-17
3165.681055,-2.522023531e-17
3166.29338,-5.566520843e-17
3166.905705,1.095108081e-18
3167.51803,5.837501146e-17
3168.130355,1.887273921e-16
3168.74268,8.837288956e-17
3169.355005,3.709035402e-17
3169.96733,4.811172807e-17
3170.579655,6.463556577e-17
3171.19198,6.246296396e-18
3171.804305,-2.508751576e-17
3172.41663,-7.741602651e-17
3173.028955,-5.098684166e-17
3173.64128,6.695259957e-17
3174.253605,-4.350560245e-17
3174.86593,-4.993674779e-17
3175.478255,5.109420244e-17
3176.09058,6.413508935e-17
3176.702905,-1.912665425e-19
3177.31523,4.782883657e-17
3177.927555,4.453271598e-17
3178.53988,8.076121026e-17
3179.152205,-1.301916512e-17
3179.76453,-1.264420415e-17
3180.376855,3.452957932e-17
3180.98918,3.14820539e-17
3181.601505,2.779620812e-17
3182.21383,5.921465801e-17
3182.826155,3.199529256e-17
3183.43848,3.471320258e-17
3184.050805,2.639773706e-17
3184.66313,3.803973432e-17
3185.275455,-2.14727584e-17
3185.88778,2.485570721e-17
3186.500105,6.659256445e-18
3187.11243,3.10337131e-17
3187.724755,4.592393819e-17
3188.33708,6.261679018e-18
3188.949405,-8.252761634e-18
3189.56173,-9.377580448e-19
3190.174055,1.863882516e-17
3190.78638,-1.719011532e-17
3191.398705,-1.912111514e-17
3192.01103,-3.59889149e-17
3192.623355,3.028444344e-17
3193.23568,5.43583496e-17
3193.848005,-1.357346258e-17
3194.46033,-2.061000697e-17
3195.072655,-1.307137368e-17
3195.68498,1.963939694e-17
3196.297305,-5.949241242e-17
3196.90963,2.450440309e-16
3197.521955,-5.983950022e-16
3198.13428,1.425309398e-15
3198.746605,4.848309649e-15
3199.35893,3.945851316e-16
3199.971255,-4.093920521e-17
3200.58358,-2.712769661e-17
3201.195905,-1.839353372e-17
3201.80823,-1.734193812e-17
3202.420555,2.282035004e-19
3203.03288,8.756158148e-18
3203.645205,-9.395929824e-18
3204.25753,-9.35754485e-18
3204.869855,-2.002060692e-18
3205.48218,2.303212163e-18
3206.094505,1.593600527e-17
3206.70683,3.232217824e-17
3207.319155,2.357683365e-17
3207.93148,-3.318113976e-18
3208.543805,-3.339479937e-18
3209.15613,6.453960341e-18
3209.768455,5.896152351e-17
3210.38078,3.086992811e-17
3210.993105,-5.523438291e-17
3211.60543,-1.123114675e-17
3212.217755,6.983495482e-18
3212.83008,-1.742316483e-17
3213.442405,-2.45917766e-17
3214.05473,1.828598913e-17
3214.667055,4.23354656e-17
3215.27938,1.494208384e-17
3215.891705,9.690498308e-19
3216.50403,-1.972045345e-18
3217.116355,3.352501502e-18
3217.72868,-1.87614215e-17
3218.341005,-2.035100816e-17
3218.95333,1.703864929e-17
3219.565655,5.162953535e-18
3220.17798,1.054098129e-17
3220.790305,-2.75942811e-18
3221.40263,-7.930182018e-18
3222.014955,2.144450142e-17
3222.62728,-1.475416624e-18
3223.239605,2.865106414e-19
3223.85193,4.213691823e-17
3224.464255,3.075553613e-17
3225.07658,1.492276944e-17
3225.688905,6.835985957e-18
3226.30123,3.191725508e-17
3226.913555,-2.735816552e-18
3227.52588,-1.200558626e-17
3228.138205,6.076578441e-17
3228.75053,3.27451574e-17
3229.362855,2.140832056e-17
3229.97518,2.013440337e-17
3230.587505,2.073546961e-17
3231.19983,3.30179287e-17
3231.812155,4.633302467e-17
3232.42448,2.51905765e-17
3233.036805,1.942518383e-17
3233.64913,-4.8121872e-18
3234.261455,5.05709559e-17
3234.87378,4.812935728e-17
3235.486105,6.580738464e-17
3236.09843,7.824182412e-17
3236.710755,5.177616516e-17
3237.32308,2.792274625e-17
3237.935405,2.400742977e-17
3238.54773,3.231205257e-17
3239.160055,4.559866416e-17
3239.77238,4.414103387e-17
3240.384705,1.342422407e-17
3240.99703,3.64820421e-17
3241.609355,2.146231988e-17
3242.22168,2.7369381e-17
3242.834005,4.456878656e-17
3243.44633,4.503014392e-17
3244.058655,6.108918824e-17
3244.67098,5.852995695e-17
3245.283305,4.450097778e-17
3245.89563,2.441278937e-17
3246.507955,4.245045899e-17
3247.12028,5.127788611e-17
3247.732605,2.019604018e-17
3248.34493,2.959740625e-17
3248.957255,5.530179985e-17
3249.56958,1.75000168e-17
3250.181905,9.727681225e-18
3250.79423,3.152148368e-17
3251.406555,9.885247837e-18
3252.01888,2.168698793e-17
3252.631205,4.026281144e-17
3253.24353,3.767353899e-17
3253.855855,3.74539987e-17
3254.46818,3.212485633e-17
3255.080505,3.753565097e-18
3255.69283,1.574035078e-17
3256.305155,6.219866938e-17
3256.91748,6.062446683e-17
3257.529805,3.889755051e-17
3258.14213,3.852905473e-17
3258.754455,7.885935168e-17
3259.36678,-7.26047432e-17
3259.979105,3.624129965e-16
3260.59143,-8.656084207e-16
3261.203755,-2.31989698e-15
3261.81608,-1.29656954e-16
3262.428405,-5.811695202e-16
3263.04073,1.27659675e-16
3263.653055,-7.987776005e-17
3264.26538,5.943683093e-16
3264.877705,1.532516823e-15
3265.49003,2.100588947e-15
3266.102355,1.824939693e-15
3266.71468,-1.827948723e-16
3267.327005,1.329254109e-16
3267.93933,2.25435685e-17
3268.551655,6.899479576e-17
3269.16398,4.147309694e-17
3269.776305,5.52504222e-17
3270.38863,6.510612882e-17
3271.000955,5.21792624e-17
3271.61328,5.100315643e-17
3272.225605,8.116004611e-17
