event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007on,54410.21631,14.249,0.009,F,H,,,2010AJ....139..519C
SN2007on,54410.21631,14.348,0.010,F,J,,,2010AJ....139..519C
SN2007on,54410.21631,14.418,0.015,F,Y,,,2010AJ....139..519C
SN2007on,54410.7786,15.170,0.065,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54410.7800,13.725,0.042,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54410.7810,14.328,0.042,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54410.7833,16.524,0.080,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54410.7857,14.383,0.052,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54410.7901,16.783,0.067,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54411.28453,14.192,0.007,F,B,,,2010AJ....139..519C
SN2007on,54411.28453,14.167,0.007,F,V,,,2010AJ....139..519C
SN2007on,54411.28453,14.111,0.006,F,g,,,2010AJ....139..519C
SN2007on,54411.28453,14.338,0.009,F,i,,,2010AJ....139..519C
SN2007on,54411.28453,14.176,0.008,F,r,,,2010AJ....139..519C
SN2007on,54411.28453,14.473,0.008,F,u,,,2010AJ....139..519C
SN2007on,54412.1192,14.631,0.050,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54412.1207,13.275,0.040,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54412.1216,13.951,0.041,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54412.1240,16.068,0.075,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54412.1264,13.987,0.046,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54412.1287,16.196,0.067,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54412.21537,13.735,0.006,F,H,,,2010AJ....139..519C
SN2007on,54412.21537,13.729,0.007,F,J,,,2010AJ....139..519C
SN2007on,54412.21537,13.829,0.011,F,Y,,,2010AJ....139..519C
SN2007on,54413.31325,13.670,0.004,F,B,,,2010AJ....139..519C
SN2007on,54413.31325,13.652,0.005,F,V,,,2010AJ....139..519C
SN2007on,54413.31325,13.587,0.003,F,g,,,2010AJ....139..519C
SN2007on,54413.31325,13.826,0.007,F,i,,,2010AJ....139..519C
SN2007on,54413.31325,13.639,0.003,F,r,,,2010AJ....139..519C
SN2007on,54413.31325,13.967,0.008,F,u,,,2010AJ....139..519C
SN2007on,54414.3618,14.237,0.045,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54414.3639,12.869,0.040,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54414.3653,13.468,0.040,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54414.3693,15.598,0.065,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54414.3725,13.478,0.043,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54414.3755,15.804,0.066,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54415.24100,13.218,0.006,F,J,,,2010AJ....139..519C
SN2007on,54415.24100,13.311,0.008,F,Y,,,2010AJ....139..519C
SN2007on,54416.5390,15.574,0.067,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54416.5457,15.785,0.066,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54416.5510,14.205,0.045,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54416.6401,13.198,0.041,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54416.6467,12.780,0.039,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54416.6528,13.153,0.039,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54417.20520,13.158,0.008,F,B,,,2010AJ....139..519C
SN2007on,54417.20520,13.118,0.006,F,V,,,2010AJ....139..519C
SN2007on,54417.20520,13.060,0.007,F,g,,,2010AJ....139..519C
SN2007on,54417.20520,13.388,0.007,F,i,,,2010AJ....139..519C
SN2007on,54417.20520,13.093,0.005,F,r,,,2010AJ....139..519C
SN2007on,54417.20520,13.654,0.010,F,u,,,2010AJ....139..519C
SN2007on,54418.24183,13.151,0.008,F,B,,,2010AJ....139..519C
SN2007on,54418.24183,13.092,0.009,F,V,,,2010AJ....139..519C
SN2007on,54418.24183,13.016,0.008,F,g,,,2010AJ....139..519C
SN2007on,54418.24183,13.437,0.013,F,i,,,2010AJ....139..519C
SN2007on,54418.24183,13.061,0.009,F,r,,,2010AJ....139..519C
SN2007on,54418.24183,13.778,0.014,F,u,,,2010AJ....139..519C
SN2007on,54418.8915,13.047,0.041,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54418.8937,12.923,0.040,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54418.8957,13.082,0.039,F,B,UVOT,Swift,2014Ap&SS.354...89B
