event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2010ai,55250.384,20.89,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55250.428,21.24,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55267.39499,17.5155,0.0518,F,i',,,2012ApJS..200...12H
SN2010ai,55267.39800,17.3216,0.0205,F,r',,,2012ApJS..200...12H
SN2010ai,55267.40100,17.3114,0.0258,F,V,,,2012ApJS..200...12H
SN2010ai,55267.40470,17.2932,0.0261,F,B,,,2012ApJS..200...12H
SN2010ai,55268.29611,17.2498,0.0437,F,i',,,2012ApJS..200...12H
SN2010ai,55268.29912,17.0691,0.0214,F,r',,,2012ApJS..200...12H
SN2010ai,55268.30216,17.0730,0.0266,F,V,,,2012ApJS..200...12H
SN2010ai,55268.30587,16.9861,0.0309,F,B,,,2012ApJS..200...12H
SN2010ai,55268.33,16.94,0.09,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55268.33,17.09,0.07,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55268.33,16.94,0.19,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55268.401,16.80398,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55268.445,16.79398,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55269.36892,16.9755,0.0319,F,i',,,2012ApJS..200...12H
SN2010ai,55269.37192,16.7939,0.0208,F,r',,,2012ApJS..200...12H
SN2010ai,55269.37493,16.8007,0.0210,F,V,,,2012ApJS..200...12H
SN2010ai,55269.37863,16.7710,0.0256,F,B,,,2012ApJS..200...12H
SN2010ai,55269.41,16.8,0.1,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55269.41,16.88,0.06,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55269.41,16.63,0.16,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55270.32073,16.8388,0.0351,F,i',,,2012ApJS..200...12H
SN2010ai,55270.32374,16.6074,0.0203,F,r',,,2012ApJS..200...12H
SN2010ai,55270.32675,16.6200,0.0195,F,V,,,2012ApJS..200...12H
SN2010ai,55270.33,16.67,0.11,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55270.33,16.65,0.06,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55270.33,16.49,0.1,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55270.33043,16.5755,0.0248,F,B,,,2012ApJS..200...12H
SN2010ai,55271.31518,16.7437,0.0344,F,i',,,2012ApJS..200...12H
SN2010ai,55271.31818,16.4595,0.0187,F,r',,,2012ApJS..200...12H
SN2010ai,55271.32120,16.4644,0.0207,F,V,,,2012ApJS..200...12H
SN2010ai,55271.362,16.25464,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55271.405,16.28304,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55274.398,16.05057,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55274.458,16.05226,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55275.35637,16.5752,0.0249,F,i',,,2012ApJS..200...12H
SN2010ai,55275.35938,16.1639,0.0206,F,r',,,2012ApJS..200...12H
SN2010ai,55275.36237,16.1113,0.0187,F,V,,,2012ApJS..200...12H
SN2010ai,55275.36791,16.1004,0.0251,F,B,,,2012ApJS..200...12H
SN2010ai,55276.36,16.73,0.14,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55276.36,16.56,0.04,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55276.36,16.54,0.13,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55276.36199,16.6609,0.0500,F,i',,,2012ApJS..200...12H
SN2010ai,55276.36500,16.1948,0.0343,F,r',,,2012ApJS..200...12H
SN2010ai,55276.36801,16.1237,0.0303,F,V,,,2012ApJS..200...12H
SN2010ai,55277.32,16.63,0.05,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55277.368,16.03986,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55277.486,15.88510,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55277.48819,16.7088,0.0327,F,i',,,2012ApJS..200...12H
SN2010ai,55277.49120,16.1753,0.0233,F,r',,,2012ApJS..200...12H
SN2010ai,55277.49420,16.0925,0.0222,F,V,,,2012ApJS..200...12H
