t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_cps,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags,t_mean_mjd,t_delta,t_delta_rest,flux_bgsub_err_total,flux_hostsub,flux_hostsub_err,luminosity,luminosity_err,luminosity_hostsub,luminosity_hostsub_err,absolute_mag,absolute_mag_err_1,absolute_mag_err_2,name,band,host,host_err,sys_err,sigma
754741679.995,754743383.995,754742547.6776843,754741685.255,754743381.735,0.0509276790665326,0.0158049213822213,1.0491101887705715e-17,3.2558138047375874e-18,23.31261528882352,0.2934604109511767,0.4034131925174975,,,,,,,,0.21704193497410385,0.011895323095132115,4.471063860466539e-17,2.4504365575972156e-18,21.73864086850836,0.057932061172540024,0.06119825967980575,285.0,332.91611651736457,1033.0,0.6734558878484185,884.7194696742497,1533.8792319423715,254.79920726618397,,0.8562543512446213,450.217529296875,417.87994384765625,53.30565298988316,54.712087855546606,-35.57501768702929,16.031578063964847,0,52979.44637358431,-1429.5536264156908,-1421.112219829901,6.024825561958545e-18,5.7474535421930444e-18,8.848866145914245e-18,4.486182072019955e+35,2.5763227459244967e+35,2.4577135287352278e+35,3.783932811483405e+35,-8.057384711176486,0.2934604109512592,0.40341319251755753,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,0.6495129938028044
784373195.995,784374899.995,784374062.0774232,784373203.89,784374896.635,0.03960120236315437,0.01660019258544369,8.157847686809799e-18,3.4196396726014012e-18,23.585729069797587,0.3800968076063711,0.5899036737169929,,,,,,,,0.2315846314929639,0.012274572964989705,4.7706434087550565e-17,2.5285620307878797e-18,21.668225662008123,0.056073543679197264,0.05912796099805818,326.0,355.96449861890665,1118.0,0.7273523596135998,1024.632691824601,1537.0816980561233,295.0942152454852,,0.9160512622201048,646.1337280273438,244.89779663085938,290.92697634045675,54.71202800273544,-35.5749470172692,10.984663009643556,32,53322.40371617388,-1086.5962838261185,-1080.1800145397522,6.114910875175423e-18,3.414199341297128e-18,8.910445781643968e-18,3.488441007490688e+35,2.6148448307761162e+35,1.4599724642059604e+35,3.810265360797002e+35,-7.784270930202418,0.3800968076064348,0.589903673717034,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,0.38316818540443576
784379111.995,784380816.995,784379996.6909418,784379116.57,784380801.41,0.009777439489082516,0.017426587233417633,2.014152534750998e-18,3.589876970084032e-18,25.10443715785632,1.1110201398102646,,,,,,,,,0.21756755419316307,0.012463277813335468,4.481891616379159e-17,2.567435229547106e-18,21.73601467599065,0.06047980160938592,0.06404853548726308,292.0,304.73596138751844,1054.0,0.752507846712529,1010.559695374359,1400.6498465160141,291.04119226781535,,0.9584232994066956,694.762451171875,361.0046691894531,297.3306887051453,54.712134460583066,-35.57511318769195,10.215753555297852,32,53322.47240383035,-1086.5275961696534,-1080.1117324787297,6.211716041582145e-18,-2.7294958107616724e-18,8.977155740964233e-18,8.612875071113732e+34,2.6562404445696232e+35,-1.167181036173354e+35,3.83879172787751e+35,-6.265562842143684,1.1110201398102864,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.30404906515173125
784414814.995,784416316.995,784415591.1483183,784414823.315,784416307.855,-0.008820013151053595,0.01675165179196577,-1.81692270911704e-18,3.4508402691449487e-18,,,,,,,,,,,0.18271670321790215,0.011704796667707271,3.763964086288785e-17,2.4111881135476973e-18,21.925554373493533,0.06741509654049692,0.07187975448759687,220.0,243.68497576978424,981.0,0.7355606774301083,886.9722922263576,1333.6765138498215,255.44802016119098,,0.9030004756036998,631.1126708984375,209.58189392089844,299.4530376746268,54.712068260781095,-35.57499037607061,10.790908813476562,32,53322.88437671665,-1086.1156232833528,-1079.7021922613205,6.132413724143343e-18,-6.560571054629711e-18,8.92246642472471e-18,-7.769485199108417e+34,2.622329360817733e+35,-2.805417063195569e+35,3.815405601932825e+35,,,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.7352867180816686
784432899.995,784434066.995,784433431.0439184,784432914.72,784434060.855,-0.0031505994862132203,0.020517814957379626,-6.490234941599232e-19,4.226669881220203e-18,,,,0.08901224525995008,0.01816769313721881,1.8336522523549714e-17,3.742544786267076e-18,22.706375610269408,0.20165936799992326,0.2478582421217297,0.21180258877062613,0.014454631894890041,4.3631333286748977e-17,2.977654170347348e-18,21.765171840010343,0.07167795992609882,0.07674657362429471,208.0,214.70811315517102,782.0,0.7714176329188266,756.6039333685999,1013.718077769538,217.90193281015684,124.4747909923038,0.9689510584108398,700.4727783203125,432.9676208496094,302.27595758844484,54.71204262274517,-35.57494778724495,9.759614944458008,32,53323.090856989795,-1085.9091430102053,-1079.4969312386477,6.600222557287236e-18,-5.392671839672594e-18,9.250234960367297e-18,-2.7753400881866164e+34,2.8223727521455833e+35,-2.306002552103389e+35,3.9555652671530264e+35,,,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.5829767419722351
784532945.995,784534651.995,784533822.0247903,784532946.435,784534651.45,0.016028945138020532,0.017203085751888177,3.301962698432229e-18,3.5438356648889644e-18,24.56773764386681,0.7916298510606872,,,,,,,,,0.2311701284712423,0.012380929887958,4.7621046465075907e-17,2.550471556919348e-18,21.670170714104653,0.056645766987060135,0.05976459219283825,334.0,348.62369392384215,1177.0,0.780461127435849,1126.5649913451675,1508.0827969830505,324.4507175074084,,0.9582347638621366,640.2240600585938,585.53173828125,303.52862293480183,54.712049465328995,-35.57495996705297,9.308382987976074,32,53324.25278963878,-1084.7472103612236,-1078.3418597145192,6.185221963733255e-18,-1.4416856470804414e-18,8.958843661819665e-18,1.4119780761584787e+35,2.6449111048746594e+35,-6.164904671262485e+34,3.830961156595374e+35,-6.802262356133195,0.7916298510607177,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.16092318400694305
784580280.995,784581985.995,784581143.2827598,784580282.585,784581982.71,0.00740295873526972,0.016730516246598354,1.5250094994655625e-18,3.4464863467992604e-18,25.40648667851484,1.2830363298255951,,,,,,,,,0.2168045727301722,0.011932561631658536,4.4661741982415475e-17,2.4581076961216585e-18,21.739828905304858,0.05817059512596145,0.061464518064386915,308.0,330.11822660030236,1187.0,0.7795601911502534,1107.1044655551734,1522.6534313515454,318.8460860798901,,0.9333124604634512,680.0191650390625,290.1956787109375,300.77852610006147,54.712217760709116,-35.574967574136885,10.168830871582033,32,53324.80048938379,-1084.1995106162067,-1077.7973940952807,6.1299647355904876e-18,-3.218638846047108e-18,8.920783411554227e-18,6.521212308670737e+34,2.6212821296824326e+35,-1.3763473124176535e+35,3.8146859155172756e+35,-5.963513321485163,1.283036329825614,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.36080226338398896
784586231.995,784587902.995,784587080.4841411,784586234.675,784587898.625,-0.0036637270829181657,0.017431589001447898,-7.54727779081142e-19,3.590907334298266e-18,,,,,,,,,,,0.2254540436926339,0.01227622218997926,4.644353300068258e-17,2.528901771135728e-18,21.697354927200365,0.05756611741754725,0.060790023367808026,326.0,337.27688470001914,1230.0,0.8221982777995103,1190.1311874626215,1495.98951154691,342.757781989235,,0.9667023278187056,669.5277709960938,529.3577270507811,298.96260783895235,54.71223206503822,-35.57498553616111,9.742331504821776,32,53324.86920699237,-1084.130793007629,-1077.7290822590105,6.212311566915034e-18,-5.498376124593812e-18,8.977567823230547e-18,-3.227350442318221e+34,2.656495101811578e+35,-2.351203587516549e+35,3.838967941596084e+35,,,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.6124572081055291
784598400.995,784599735.995,784599068.0923259,784598406.055,784599732.4,0.01155822312786896,0.018420234401576405,2.380993964341005e-18,3.7945682867247395e-18,24.922772314675196,1.0347955234071655,,,,,,,,,0.20775785581314526,0.013210098256736302,4.279811829750792e-17,2.721280240887678e-18,21.78610636384403,0.06692960032203388,0.07132806291065208,230.0,247.3448162917084,871.0,0.7315984831468476,811.0564097614986,1190.5437477857256,233.58424601131162,,0.9303044954714768,671.552978515625,296.5318603515625,290.59710264043593,54.71202158312066,-35.57510000203682,10.59565258026123,32,53325.007952457476,-1083.9920475425242,-1077.591156075436,6.332215094540486e-18,-2.3626543811716655e-18,9.060952324110557e-18,1.0181554378889247e+35,2.7077679863725105e+35,-1.0103131053958024e+35,3.874624639713786e+35,-6.447227685324808,1.034795523407189,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.26075122091579805
785012225.995,785013920.995,785013126.1087662,785012232.35,785013920.495,-0.015557594776970187,0.017012286405623276,-3.2048645240558586e-18,3.504530999558395e-18,,,,,,,,,,,0.21173501389657876,0.01181443897785376,4.361741286269522e-17,2.433774429437874e-18,21.765518295614033,0.05895232384496296,0.062337974295182626,308.0,321.1878856843677,1249.0,0.8233717526217956,1197.1795788395716,1516.9332637692646,344.78771870579675,,0.9591196819663153,707.5785522460938,392.8346557617188,307.6620027885408,54.7120255625211,-35.57495715646545,9.470779418945312,32,53329.80029061072,-1079.1997093892787,-1072.8271163183476,6.162786467806183e-18,-7.948512869568529e-18,8.943368831936495e-18,-1.3704571669369592e+35,2.6353172871153582e+35,-3.398925710221686e+35,3.824343843644657e+35,,,,SN2007on,NUV,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,-0.8887604904747565
