Name,Band,Max Sigma
ESSENCEm043,NUV,2.81075229
ESSENCEn263,NUV,12.05342891
ESSENCEn278,NUV,4.149580915
ESSENCEn400,NUV,2.974127503
SDSS-II SN 14638,NUV,2.569250154
SDSS-II SN 14972,NUV,2.722442838
SDSS-II SN 15255,NUV,3.654284597
SDSS-II SN 16199,NUV,3.871868838
SDSS-II SN 19778,FUV,8.495714838
SDSS-II SN 19778,NUV,11.41158436
SDSS-II SN 21060,NUV,3.912756211
SDSS-II SN 3402,NUV,3.608945963
SDSS-II SN 4206,FUV,3.884674176
SDSS-II SN 5486,NUV,3.257218559
SDSS-II SN 5890,NUV,3.798818303
SDSS-II SN 7835,FUV,3.620040797
SDSS-II SN 9326,NUV,3.823747341
SDSS-II SN 9954,FUV,3.393275785
SN2004fh,NUV,2.074144796
SN2005gf,NUV,2.444272306
SN2005hv,NUV,2.641901973
SN2006ff,NUV,3.420538082
SN2007on,NUV,84.28122303
SN2007sn,NUV,2.897831992
SN2007tv,NUV,2.991543875
SN2008hv,NUV,5.176710129
SN2009L,FUV,2.782395148
SN2009L,NUV,2.883381224
SN2010ai,NUV,13.55137848
SNLS-05D1by,NUV,2.530163191
SNLS-06D3df,NUV,3.091048789
