File,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
Adrian-FUV.fits.gz,2006-04-20,22h35m24.966s,-25d57m09.61s,post_disc,2,0,2
Adrian-NUV.fits.gz,2006-04-20,22h35m24.966s,-25d57m09.61s,post_disc,2,0,2
Aki-FUV.fits.gz,2006-06-19,22h16m01.077s,-17d37m22.09s,pre_post_disc,96,48,48
Aki-NUV.fits.gz,2006-06-19,22h16m01.077s,-17d37m22.09s,pre_post_disc,109,55,54
Anon_162130.4+380856-FUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
Anon_162130.4+380856-NUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
ASASSN-13av-NUV.fits.gz,nan,nan,nan,nan,nan,nan,nan
ASASSN-13ch-FUV.fits.gz,2013-08-28,16h16m34.06s,-0d35m27.4s,single,1,1,0
ASASSN-13ch-NUV.fits.gz,2013-08-28,16h16m34.06s,-0d35m27.4s,single,1,1,0
ASASSN-13cj-FUV.fits.gz,2013-08-27,16h17m11.01s,4d33m14.7s,pre_disc,2,2,0
ASASSN-13cj-NUV.fits.gz,2013-08-27,16h17m11.01s,4d33m14.7s,pre_disc,4,4,0
ASASSN-13cp-FUV.fits.gz,2013-08-30,15h33m49.236s,21d08m21.87s,pre_disc,2,2,0
ASASSN-13cp-NUV.fits.gz,2013-08-30,15h33m49.236s,21d08m21.87s,pre_disc,2,2,0
ASASSN-13dd-FUV.fits.gz,2013-09-24,9h07m36.75s,3d23m39.7s,pre_disc,8,8,0
ASASSN-13dd-NUV.fits.gz,2013-09-24,9h07m36.75s,3d23m39.7s,pre_disc,8,8,0
ASASSN-14ad-FUV.fits.gz,2014-01-27,12h40m11.1s,18d03m32.8s,single,1,1,0
ASASSN-14ad-NUV.fits.gz,2014-01-27,12h40m11.1s,18d03m32.8s,pre_disc,2,2,0
ASASSN-14ar-FUV.fits.gz,2014-04-24,9h09m41.7s,37d36m06.5s,single,1,1,0
ASASSN-14ar-NUV.fits.gz,2014-04-24,9h09m41.7s,37d36m06.5s,single,1,1,0
ASASSN-14ay-FUV.fits.gz,2014-05-19,15h57m03.15s,37d24m57.78s,pre_disc,2,2,0
ASASSN-14ay-NUV.fits.gz,2014-05-19,15h57m03.15s,37d24m57.78s,pre_disc,2,2,0
ASASSN-14ba-FUV.fits.gz,2014-05-20,10h21m31.9s,8d24m21.12s,pre_disc,6,6,0
ASASSN-14ba-NUV.fits.gz,2014-05-20,10h21m31.9s,8d24m21.12s,pre_disc,11,11,0
ASASSN-14bb-FUV.fits.gz,2014-05-19,12h14m11.3s,38d39m40.8s,single,1,1,0
ASASSN-14bb-NUV.fits.gz,2014-05-19,12h14m11.3s,38d39m40.8s,single,1,1,0
ASASSN-14bd-FUV.fits.gz,2014-05-20,12h52m44.8s,26d28m13s,pre_disc,7,7,0
ASASSN-14bd-NUV.fits.gz,2014-05-20,12h52m44.8s,26d28m13s,pre_disc,11,11,0
ASASSN-14cu-FUV.fits.gz,2014-06-18,12h47m02.68s,-24d14m41.3s,single,1,1,0
ASASSN-14cu-NUV.fits.gz,2014-06-18,12h47m02.68s,-24d14m41.3s,pre_disc,2,2,0
ASASSN-14db-FUV.fits.gz,2014-06-22,22h02m01.85s,-70d02m26.1s,single,1,1,0
ASASSN-14db-NUV.fits.gz,2014-06-22,22h02m01.85s,-70d02m26.1s,single,1,1,0
ASASSN-14dc-NUV.fits.gz,2014-06-26,2h18m37.82s,33d37m01.7s,single,1,1,0
ASASSN-14em-FUV.fits.gz,2014-07-24,14h01m49.99s,34d21m42.7s,single,1,1,0
ASASSN-14em-NUV.fits.gz,2014-07-24,14h01m49.99s,34d21m42.7s,single,1,1,0
ASASSN-14ep-FUV.fits.gz,2014-07-27,15h23m44.06s,68d37m55.6s,single,1,1,0
ASASSN-14ep-NUV.fits.gz,2014-07-27,15h23m44.06s,68d37m55.6s,single,1,1,0
ASASSN-14es-FUV.fits.gz,2014-07-29,14h35m01.754s,26d32m38.91s,single,1,1,0
ASASSN-14es-NUV.fits.gz,2014-07-29,14h35m01.754s,26d32m38.91s,single,1,1,0
ASASSN-14ew-FUV.fits.gz,2014-08-06,20h22m00.88s,-51d47m46.5s,pre_disc,2,2,0
ASASSN-14ew-NUV.fits.gz,2014-08-06,20h22m00.88s,-51d47m46.5s,pre_disc,2,2,0
ASASSN-14fa-FUV.fits.gz,2014-08-07,2h52m23.06s,-31d49m18s,pre_disc,2,2,0
ASASSN-14fa-NUV.fits.gz,2014-08-07,2h52m23.06s,-31d49m18s,pre_disc,3,3,0
ASASSN-14hr-FUV.fits.gz,2014-09-25,1h50m41.23s,-14d31m04.75s,pre_disc,2,2,0
ASASSN-14hr-NUV.fits.gz,2014-09-25,1h50m41.23s,-14d31m04.75s,pre_disc,2,2,0
ASASSN-14ig-FUV.fits.gz,2014-09-21,1h16m04.95s,-61d37m16.6s,single,1,1,0
ASASSN-14ig-NUV.fits.gz,2014-09-21,1h16m04.95s,-61d37m16.6s,single,1,1,0
ASASSN-14ii-FUV.fits.gz,2014-09-22,22h16m40.78s,-36d09m39.9s,pre_disc,2,2,0
ASASSN-14ii-NUV.fits.gz,2014-09-22,22h16m40.78s,-36d09m39.9s,pre_disc,2,2,0
ASASSN-14in-FUV.fits.gz,2014-10-04,18h24m29.61s,52d26m32.8s,pre_disc,2,2,0
ASASSN-14in-NUV.fits.gz,2014-10-04,18h24m29.61s,52d26m32.8s,pre_disc,2,2,0
ASASSN-14iu-FUV.fits.gz,2014-10-12,9h10m39.53s,50d22m48.26s,single,1,1,0
ASASSN-14iu-NUV.fits.gz,2014-10-12,9h10m39.53s,50d22m48.26s,pre_disc,2,2,0
ASASSN-14jc-FUV.fits.gz,2014-10-19,7h35m35.288s,-62d46m12.64s,pre_disc,2,2,0
ASASSN-14jc-NUV.fits.gz,2014-10-19,7h35m35.288s,-62d46m12.64s,pre_disc,2,2,0
ASASSN-14jz-FUV.fits.gz,2014-11-11,18h44m44.34s,-52d48m05.48s,pre_disc,2,2,0
ASASSN-14jz-NUV.fits.gz,2014-11-11,18h44m44.34s,-52d48m05.48s,pre_disc,2,2,0
ASASSN-14kd-NUV.fits.gz,2014-11-12,22h53m24.95s,4d47m57.3s,pre_disc,2,2,0
ASASSN-14kr-FUV.fits.gz,2014-11-23,12h54m13.15s,-7d38m57.46s,single,1,1,0
ASASSN-14kr-NUV.fits.gz,2014-11-23,12h54m13.15s,-7d38m57.46s,single,1,1,0
ASASSN-14lo-FUV.fits.gz,2014-12-09,11h51m53.19s,18d32m31s,single,1,1,0
ASASSN-14lo-NUV.fits.gz,2014-12-09,11h51m53.19s,18d32m31s,pre_disc,3,3,0
