File,SN,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
Adrian-FUV.fits.gz,Adrian,2006-04-20,22h35m24.966s,-25d57m09.61s,post_disc,2,0,2
Adrian-NUV.fits.gz,Adrian,2006-04-20,22h35m24.966s,-25d57m09.61s,post_disc,2,0,2
Aki-FUV.fits.gz,Aki,2006-06-19,22h16m01.077s,-17d37m22.09s,pre_post_disc,96,48,48
Aki-NUV.fits.gz,Aki,2006-06-19,22h16m01.077s,-17d37m22.09s,pre_post_disc,109,55,54
Caleb-FUV.fits.gz,Caleb,2005-12-12,14h32m28.748s,33d32m10.05s,post_disc,2,0,2
Caleb-NUV.fits.gz,Caleb,2005-12-12,14h32m28.748s,33d32m10.05s,pre_post_disc,39,13,26
Cayanne-FUV.fits.gz,Cayanne,2004-08-27,12h37m27.11s,62d12m07.68s,pre_post_disc,82,44,38
Cayanne-NUV.fits.gz,Cayanne,2004-08-27,12h37m27.11s,62d12m07.68s,pre_post_disc,131,77,54
CSS091127_094447+083137-NUV.fits.gz,CSS091127:094447+083137,2009-11-27,9h44m47.1s,8d31m37s,pre_post_disc,3,1,2
CSS100912_223118+010516-NUV.fits.gz,CSS100912:223118+010516,2010-09-12,22h31m18.33s,1d05m16s,pre_post_disc,2,1,1
Eagle-FUV.fits.gz,Eagle,2004-11-06,12h37m20.75s,62d13m41.5s,pre_post_disc,82,44,38
Eagle-NUV.fits.gz,Eagle,2004-11-06,12h37m20.75s,62d13m41.5s,pre_post_disc,131,77,54
Emma-FUV.fits.gz,Emma,2006-04-22,14h34m30.139s,34d26m57.29s,post_disc,2,0,2
Emma-NUV.fits.gz,Emma,2006-04-22,14h34m30.139s,34d26m57.29s,pre_post_disc,38,13,25
ESSENCEf123-FUV.fits.gz,ESSENCEf123,2003-12-01,2h09m57.282s,-3d32m26.609s,pre_post_disc,3,1,2
ESSENCEf123-NUV.fits.gz,ESSENCEf123,2003-12-01,2h09m57.282s,-3d32m26.609s,pre_post_disc,10,1,9
ESSENCEg097-FUV.fits.gz,ESSENCEg097,2004-10-05,23h27m37.16s,-9d35m21s,pre_post_disc,7,3,4
ESSENCEg097-NUV.fits.gz,ESSENCEg097,2004-10-05,23h27m37.16s,-9d35m21s,pre_post_disc,16,3,13
ESSENCEg142-FUV.fits.gz,ESSENCEg142,2004-10-09,23h28m37.7s,-8d45m04s,pre_post_disc,6,2,4
ESSENCEg142-NUV.fits.gz,ESSENCEg142,2004-10-09,23h28m37.7s,-8d45m04s,pre_post_disc,10,2,8
ESSENCEg225-FUV.fits.gz,ESSENCEg225,2004-10-17,23h27m15.69s,-9d27m59.8s,pre_post_disc,4,1,3
ESSENCEg225-NUV.fits.gz,ESSENCEg225,2004-10-17,23h27m15.69s,-9d27m59.8s,pre_post_disc,13,1,12
ESSENCEg230-FUV.fits.gz,ESSENCEg230,2004-10-17,1h11m56.31s,0d07m27.7s,pre_post_disc,5,1,4
ESSENCEg230-NUV.fits.gz,ESSENCEg230,2004-10-17,1h11m56.31s,0d07m27.7s,pre_post_disc,14,1,13
ESSENCEg240-FUV.fits.gz,ESSENCEg240,2004-10-13,23h30m41.83s,-8d34m11s,pre_post_disc,6,2,4
ESSENCEg240-NUV.fits.gz,ESSENCEg240,2004-10-13,23h30m41.83s,-8d34m11s,pre_post_disc,10,2,8
ESSENCEh300-FUV.fits.gz,ESSENCEh300,2004-10-19,2h31m40.67s,-8d49m03.3s,post_disc,3,0,3
ESSENCEh300-NUV.fits.gz,ESSENCEh300,2004-10-19,2h31m40.67s,-8d49m03.3s,post_disc,8,0,8
ESSENCEk411-FUV.fits.gz,ESSENCEk411,2004-11-16,23h26m11.77s,-8d50m17.5s,pre_post_disc,8,2,6
ESSENCEk411-NUV.fits.gz,ESSENCEk411,2004-11-16,23h26m11.77s,-8d50m17.5s,pre_post_disc,14,2,12
ESSENCEk467-FUV.fits.gz,ESSENCEk467,2004-11-16,2h31m11.8s,-7d47m34.1s,post_disc,3,0,3
ESSENCEk467-NUV.fits.gz,ESSENCEk467,2004-11-16,2h31m11.8s,-7d47m34.1s,post_disc,10,0,10
ESSENCEk490-FUV.fits.gz,ESSENCEk490,2004-12-05,2h30m24.32s,-7d53m21s,post_disc,5,0,5
ESSENCEk490-NUV.fits.gz,ESSENCEk490,2004-12-05,2h30m24.32s,-7d53m21s,post_disc,12,0,12
ESSENCEm022-FUV.fits.gz,ESSENCEm022,2005-09-26,23h30m02.7s,-8d33m36.6s,pre_post_disc,9,3,6
ESSENCEm022-NUV.fits.gz,ESSENCEm022,2005-09-26,23h30m02.7s,-8d33m36.6s,pre_post_disc,13,3,10
ESSENCEm026-FUV.fits.gz,ESSENCEm026,2005-09-26,23h28m39.97s,-9d19m50s,pre_post_disc,8,2,6
ESSENCEm026-NUV.fits.gz,ESSENCEm026,2005-09-26,23h28m39.97s,-9d19m50s,pre_post_disc,18,2,16
ESSENCEm027-FUV.fits.gz,ESSENCEm027,2005-09-26,1h09m15.01s,0d08m14.8s,pre_post_disc,3,1,2
ESSENCEm027-NUV.fits.gz,ESSENCEm027,2005-09-26,1h09m15.01s,0d08m14.8s,pre_post_disc,11,1,10
ESSENCEm032-FUV.fits.gz,ESSENCEm032,2005-09-25,23h29m35.34s,-9d58m46.3s,pre_post_disc,8,2,6
ESSENCEm032-NUV.fits.gz,ESSENCEm032,2005-09-25,23h29m35.34s,-9d58m46.3s,pre_post_disc,13,2,11
ESSENCEm034-FUV.fits.gz,ESSENCEm034,2005-09-26,2h27m50.33s,-7d59m11.6s,post_disc,2,0,2
ESSENCEm034-NUV.fits.gz,ESSENCEm034,2005-09-26,2h27m50.33s,-7d59m11.6s,post_disc,10,0,10
ESSENCEm039-FUV.fits.gz,ESSENCEm039,2005-09-26,2h28m04.63s,-7d42m44.3s,post_disc,2,0,2
ESSENCEm039-NUV.fits.gz,ESSENCEm039,2005-09-26,2h28m04.63s,-7d42m44.3s,post_disc,10,0,10
ESSENCEm057-NUV.fits.gz,ESSENCEm057,2005-09-28,2h10m56.77s,-4d27m29.9s,post_disc,56,0,56
ESSENCEm070-FUV.fits.gz,ESSENCEm070,2005-09-28,2h33m46.821s,-8d08m26.888s,pre_post_disc,7,3,4
ESSENCEm070-NUV.fits.gz,ESSENCEm070,2005-09-28,2h33m46.821s,-8d08m26.888s,pre_post_disc,12,3,9
ESSENCEm075-FUV.fits.gz,ESSENCEm075,2005-09-26,23h24m42.29s,-8d29m08.7s,pre_post_disc,4,1,3
ESSENCEm075-NUV.fits.gz,ESSENCEm075,2005-09-26,23h24m42.29s,-8d29m08.7s,pre_post_disc,12,1,11
ESSENCEm138-FUV.fits.gz,ESSENCEm138,2005-10-06,1h08m56.35s,0d39m25.4s,pre_post_disc,4,2,2
ESSENCEm138-NUV.fits.gz,ESSENCEm138,2005-10-06,1h08m56.35s,0d39m25.4s,pre_post_disc,8,2,6
ESSENCEm193-FUV.fits.gz,ESSENCEm193,2005-10-06,2h28m52.2s,-7d42m09.8s,post_disc,2,0,2
ESSENCEm193-NUV.fits.gz,ESSENCEm193,2005-10-06,2h28m52.2s,-7d42m09.8s,post_disc,10,0,10
ESSENCEm226-NUV.fits.gz,ESSENCEm226,2005-09-26,2h06m03.69s,-4d39m59.1s,pre_post_disc,39,1,38
ESSENCEn246-FUV.fits.gz,ESSENCEn246,2005-11-22,1h14m33.08s,-0d26m23.2s,pre_post_disc,5,1,4
