tstart,twidth,0,100,500
0,100,7,2,0
0,200,7,6,0
0,300,7,10,0
0,400,7,16,0
0,500,7,19,2
100,100,0,6,0
100,200,0,10,0
100,300,0,16,0
100,400,0,19,2
100,500,0,19,5
200,100,0,9,0
200,200,0,15,0
200,300,0,18,2
200,400,0,18,5
200,500,0,18,7
300,100,0,11,0
300,200,0,14,2
300,300,0,14,5
300,400,0,14,7
300,500,0,14,7
400,100,0,8,2
400,200,0,8,5
400,300,0,8,7
400,400,0,8,7
400,500,0,8,7
500,100,0,0,5
500,200,0,0,7
500,300,0,0,7
500,400,0,0,7
500,500,0,0,8
600,100,0,0,5
600,200,0,0,5
600,300,0,0,5
600,400,0,0,6
600,500,0,0,8
700,100,0,0,5
700,200,0,0,5
700,300,0,0,6
700,400,0,0,8
700,500,0,0,8
800,100,0,0,1
800,200,0,0,2
800,300,0,0,4
800,400,0,0,4
800,500,0,0,4
900,100,0,0,1
900,200,0,0,3
900,300,0,0,3
900,400,0,0,3
900,500,0,0,3
