,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400
0.5,,,,,,,0.5,,,,,,,,0.0,,,,,,,,,,,,,
0.6,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
0.7999999999999999,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,
0.8999999999999999,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,
0.9999999999999999,,,,,,,0.25,,,,,,0.0,0.0,0.16666666666666666,,,,,,,,,,,,,
1.0999999999999999,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1.1999999999999997,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
1.2999999999999998,,,,,,,0.3333333333333333,0.0,,,,,1.0,0.3333333333333333,0.0,,,,,,,,,,,,,
1.4,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1.4999999999999998,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,
1.5999999999999996,,,,,,,0.5,1.0,,,,,1.0,0.5,0.0,,,,,,,,,,,,,
1.6999999999999997,,,,,,,,0.0,,,,,0.0,0.0,1.0,,,,,,,,,,,,,
1.7999999999999998,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
