Name,NED Object,Redshift,Same Name?,Disc. Date,,With Redshift,Without Redshift
SDSS-II SN 16121,SDSS-II SN 16121,0.012,TRUE,2006-10-27,,2006-10-27,2006-04-20
SDSS-II SN 10506,SDSS-II SN 10506,0.023,FALSE,2005-10-26,,2005-10-26,2006-06-19
SDSS-II SN 13144,SDSS-II SN 13144,0.026,TRUE,2006-09-12,,2006-09-12,2005-12-12
SDSS-II SN 14963,SDSS-II SN 14963,0.026,TRUE,2006-09-18,,2006-09-18,2004-08-27
SDSS-II SN 4417,SDSS-II SN 04417,0.028,TRUE,2005-09-13,,2005-09-13,2009-11-27
Zwicky,ESO 350- G 040,0.030187,FALSE,2005-02-01,,2005-02-01,2010-09-12
SDSS-II SN 3674,SDSS-II SN 03674,0.035,TRUE,2005-09-21,,2005-09-21,2006-04-22
PTF10vnu,WISEA J011103.70+002622.4,0.046112,FALSE,2010-09-16,,2010-09-16,2004-10-05
PTF10trp,WISEA J212808.03+095114.0,0.048885,FALSE,2010-08-27,,2010-08-27,2004-10-09
SDSS-II SN 20759,SDSS-II SN 20759,0.053,FALSE,2007-10-20,,2007-10-20,2004-10-17
SDSS-II SN 15603,SDSS-II SN 15603,0.054,FALSE,2006-10-29,,2006-10-29,2004-10-17
SNF20080919-002,WISEA J022520.90-083901.8,0.055705,FALSE,2008-09-19,,2008-09-19,2004-10-13
SDSS-II SN 21401,SDSS-II SN 21401,0.056,FALSE,2007-10-21,,2007-10-21,2004-10-19
SDSS-II SN 16356,SDSS-II SN 16356,0.062,TRUE,2006-11-09,,2006-11-09,2004-11-16
SDSS-II SN 16976,SDSS-II SN 16976,0.064,TRUE,2006-11-13,,2006-11-13,2004-11-16
PTF10cko,WISEA J121115.57+134405.9,0.064733,FALSE,2010-02-24,,2010-02-24,2004-12-05
PSc080064,PS1-10aeq,0.066,FALSE,2010-09-03,,2010-09-03,2005-09-26
SDSS-II SN 21875,SDSS-II SN 21875,0.066,TRUE,2007-11-08,,2007-11-08,2005-09-26
SDSS-II SN 18459,SDSS-II SN 18459,0.068,TRUE,2007-09-16,,2007-09-16,2005-09-26
SDSS-II SN 19209,SDSS-II SN 19209,0.072,FALSE,2007-09-30,,2007-09-30,2005-09-25
SDSS-II SN 11092,SDSS-II SN 11092,0.074,FALSE,2005-10-30,,2005-10-30,2005-09-26
PS1-11fi,PS1-11fi,0.082,TRUE,2011-02-05,,2011-02-05,2005-09-26
SDSS-II SN 10524,SDSS-II SN 10524,0.082,FALSE,2005-11-02,,2005-11-02,2005-09-28
PTF11dej,WISEA J141554.24+302211.6,0.08223,FALSE,2011-05-04,,2011-05-04,2005-09-28
PTF10rbp,WISEA J011637.67-014929.2,0.0823,FALSE,2010-08-08,,2010-08-08,2005-09-26
PSc060242,WISEA J141236.30+540300.4,0.087,FALSE,2010-07-11,,2010-07-11,2005-10-06
SDSS-II SN 14528,SDSS-II SN 14528,0.088,TRUE,2006-09-20,,2006-09-20,2005-10-06
SDSS-II SN 20916,SDSS-II SN 20916,0.088,FALSE,2007-10-21,,2007-10-21,2005-09-26
SNF20080322-001,WISEA J161448.96+435329.1,0.089075,FALSE,2008-03-22,,2008-03-22,2005-11-22
SDSS-II SN 3205,SDSS-II SN 03205,0.091,TRUE,2005-09-22,,2005-09-22,2005-11-08
PTF10qna,WISEA J004750.91-255751.8,0.0945,FALSE,2010-08-02,,2010-08-02,2005-11-22
PS1-10s,PS1-10s,0.101,FALSE,2010-01-16,,2010-01-16,2005-11-22
SDSS-II SN 18304,SDSS-II SN 18304,0.102,FALSE,2007-09-22,,2007-09-22,2005-11-24
