Name,NED Object,Redshift
Adrian,SCP 06Z05,--
Aki,SCP 06A04,--
Caleb,SCP 06F12,--
Cayanne,SN HST04Cay,--
CSS091127:094447+083137,SDSS J094448.19+083154.3,--
CSS100912:223118+010516,SDSS J223118.20+010519.2,--
Eagle,Eagle Galaxy,0.768512
Emma,SDWFS J143430.13+342657.0:SN,--
ESSENCEf123,ESSENCE f123,0.5261
ESSENCEg097,ESSENCE g097,--
ESSENCEg142,ESSENCE g142,--
ESSENCEg225,ESSENCE g225,--
ESSENCEg230,ESSENCE g230,--
ESSENCEg240,ESSENCE g240,--
ESSENCEh300,ESSENCE h300,--
ESSENCEk411,ESSENCE k411,--
ESSENCEk467,ESSENCE k467,--
ESSENCEk490,ESSENCE k490,--
ESSENCEm022,ESSENCE m022,--
ESSENCEm026,ESSENCE m026,--
ESSENCEm027,ESSENCE m027,--
ESSENCEm032,ESSENCE m032,--
ESSENCEm034,ESSENCE m034,--
ESSENCEm039,ESSENCE m039,--
ESSENCEm057,ESSENCE m057,--
ESSENCEm070,WISEA J023346.84-080827.7,--
ESSENCEm075,ESSENCE m075,--
ESSENCEm138,ESSENCE m138,--
ESSENCEm193,ESSENCE m193,--
ESSENCEm226,ESSENCE m226,--
ESSENCEn246,ESSENCE n246,--
ESSENCEn256,ESSENCE n256,--
ESSENCEn258,ESSENCE n258,--
ESSENCEn263,ESSENCE n263,--
ESSENCEn278,ESSENCE n278,--
ESSENCEn285,ESSENCE n285,--
ESSENCEn322,ESSENCE n322,--
ESSENCEn404,ESSENCE n404,--
ESSENCEn406,ESSENCE n406,--
ESSENCEp434,ESSENCE p434,--
ESSENCEp445,ESSENCE p445,0.8069
ESSENCEp454,ESSENCE p454,--
ESSENCEp455,ESSENCE p455,--
ESSENCEp459,ESSENCE p459,0.702
ESSENCEp520,ESSENCE p520,--
ESSENCEp524,ESSENCE p524,--
ESSENCEp527,ESSENCE p527,--
ESSENCEp528,ESSENCE p528,--
ESSENCEp534,ESSENCE p534,--
ESSENCEq002,ESSENCE q002,0.3469
ESSENCEq006,ESSENCE q006,0.29
ESSENCEq018,WISEA J023139.05-081804.5,--
ESSENCEq021,ESSENCE q021,0.36
ESSENCEs354,ESSENCE s354,0.5588
ESSENCEs380,ESSENCE s380,0.6355
ESSENCEx039,ESSENCE x039,0.771
ESSENCEx093,WISEA J022943.15-090656.7,--
Frida,SCP 05D00,--
Gabi,S-CANDELS J123613.82+621207.1,1.12
Hawk,SN HST04Haw,--
HST04Man,ACS-GC 50013390,0.85454
HST04Sas,S-CANDELS J123654.11+620821.7,0.44643
HST05Dic,SN HST05Dic,--
HST05Fer,[RSC2007] J123625.10+621523.84,1.02
HST05Koe,SN HST05Koe,--
HST05Lan,SN HST05Lan,--
K0509-001,WISEA J212616.26-003314.1,0.2136
Lauren,SCP 05P09,--
McGuire,SN HST04Mcg,--
Noa,SCP 06C00,--
Patuxent,WISEA J123808.92+621847.5,0.9367
PS0909010,SN 2009kt,--
PS1-1000004,PS1-10d,0.231
PS1-1000005,PS1-10e,0.245
PS1-1000007,PS1-10g,0.137
PS1-1000008,PS1-10h,0.25
PS1-1000009,PS1-10i,0.15
PS1-1000790,SDSS J213328.65+102038.1,--
PS1-10acx,PS1-10acx,0.35
PS1-10bls,PS1-10bls,0.276
PS1-10byr,PS1-10byr,0.24
PS1-10byw,WISEA J221528.12+013257.6,--
PS1-10ia,PS1-10ia,0.409
PS1-10if,PS1-10if,0.15
PS1-10im,PS1-10im,0.51
PS1-10io,PS1-10io,0.22
PS1-10j,PS1-10j,0.436
PS1-10ka,ELAIS02(R) J161110.1+550718,--
PS1-10m,PS1-10m,0.618
PS1-10o,PS1-10o,0.22
PS1-10s,PS1-10s,0.101
PS1-11aac,SDSS J141517.45+541755.5,--
PS1-11at,PS1-11at,0.32
PS1-11bg,PS1-11bg,0.329
PS1-11bk,PS1-11bk,0.16
PS1-11fi,PS1-11fi,0.082
PS1-11kk,PS1-11kk,0.3
PS1-11kl,SDSS J162120.06+550023.9,--
PS1-11uw,PS1-11uw,0.3
PS1-11w,PS1-11w,0.174
