"Name","Disc. Date","Max Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","References"
"SN1006A","1006/04/17","1006/09/05","-0.8","Milky Way","15:02:50,15:02:22.4","-41:56,-42:06:09.0","","Ia","4","","1996ApJ...459..438S,2014BASI...42...47G,2003ApJ...585..324W"
"SN1054A","1054/07/04","1054/07/27","-4","Milky Way","05:34:31,05:34:31.889,05:34:32.0","+22:01,+22:00:51.98,+22:00:52.0","","CC","2","","2014BASI...42...47G,1977hisu.book.....C,1973PASP...85..579T,1999PASP..111..871C,1969ApJ...157.1395O"
"SN1572A","1572/11/06","1572/11/26","-4","Milky Way","00:25:21.5,00:25:18,00:24:48.600,00:25:14.0","+64:08:27,+64:09,+64:08:48.98,+64:08:39.0","","I","19","1","2004ApJ...612..357R,2008Natur.456..617K,2014BASI...42...47G,2011ApJ...729L..15T,1997A&AS..124..259R"
"SN1604A","1604/10/09","1604/10/28","-2.95","Milky Way","17:30:42,17:30:38.599,17:30:40.8","-21:29,-21:28:52.00,-21:29:11.0","","I","35","","1977hisu.book.....C,2014BASI...42...47G,2016ApJ...817...36S"
"SN1885A","1885/08/17","1885/08/21","9","NGC 224","00:42:43.0,00:42:43.100,00:42:43.1,00:42:43.00","+41:16:04,+41:16:04.00,+41:16:04.0","-0.00097,-0.00097,-0.00097","I","23","","1885AN....113...21H,2012A&A...538A.120L,2011ApJ...737..103S"
"SN1895B","1895/07/06","1895/07/06","7.07","NGC 5253","13:39:55.9,13:39:57.3,13:39:57.300,13:39:57.30","-31:38:31,-31:38:06,-31:38:08.00,-31:38:08.0,-31:38:06.0","0.0014","Ia","82","","1933AnHar..84..189W,2012A&A...538A.120L,1898AJ.....19...31H,1896PASP....8..220H,1896AJ.....16...85H"
"SN1901B","1901/03/17","1901/02/10","13.5","NGC 4321","12:22:47.6,12:22:47.000,12:22:47.0,12:22:47.60","+15:49:25,+15:49:26.00,+15:49:26.0,+15:49:25.0","0.0053","I","7","","2012A&A...538A.120L,1917LicOB...9..108C,2016A&A...594A..13P,2008yCat.2283....0B,1938ApJ....88..285B"
"SN1907A","1907/05/09","1907/05/10","13.5","NGC 4674","12:46:02,12:46:02.600,12:46:02.6,12:46:02.83","-08:39.2,-08:39:12.00,-08:39:12.0,-08:39:08.6","0.005","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1909A","1909/01/26","1909/03/14","12.1","NGC 5457","14:02:03.17,14:02:03.12,14:02:03.1,14:02:02.600,14:02:02.6,14:02:03.10","+54:28:05.9,+54:27:57.96,+54:27:58,+54:27:57.00,+54:27:57.0,+54:27:58.0","0.00082,0.00079","II","8","","2012A&A...538A.120L,2008ApJ...673..999P,1974ApJ...194..223S,2016A&A...594A..13P,2004yCat.2250....0S"
"SN1917A","1917/07/19","1917/07/19","14.6","NGC 6946","20:34:46.9,20:34:46.900,20:34:46.90","+60:07:29,+60:07:30.00,+60:07:30.0,+60:07:29.0","0.00015","II","3","","2012A&A...538A.120L,1938ApJ....88..285B,2016A&A...594A..13P,1994AJ....108.1893S,2011ApJ...737..103S"
